price,rating,title,brand,display_size,calling,heart_monitor,battery_days
32999,0.0,"Samsung Galaxy Watch8 (44mm, LTE)",0,6.42816,0,0,11
1199,5.3,Fire-Boltt Talk Ultra 35.3mm (1.39) Round Color HD Disp...,3,35.3,0,0,11
1499,2.0,"boAt Wave Sigma 3 w/ Turn By Turn Navigation, 2.01"" Scr...",2,2.01,0,0,5
2499,1.9,"Noise Icon 5 with AI Watch Faces, AI Search, 1.95"" AMOL...",1,1.95,0,0,11
870,0.0,"Melbon H9 BT Calling, Fitness tracking Multiple Watch ,...",0,6.42816,1,0,14
1999,1.8,"REDMI Watch Move 1.85 Premium AmoLED,14 Day Battery,Bes...",0,1.85,0,0,8
1199,1.3,"GOBOULT Dire 1.38'' 2.5D HD Display, 500Nits Brightness...",0,1.38,0,0,7
2099,1.9,Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Wo...,4,1.97,0,0,6
889,2.0,"GameSir Newly Launched H16 2.0"" Square Dial watch, Full...",0,2.0,0,0,12
21490,0.0,Samsung Galaxy Watch7 44mm BT,0,6.42816,0,0,13
1999,1.8,Bestseller,0,6.42816,0,0,8
1899,1.3,"GOBOULT Thrux 1.39'' HD Screen, GPS Tracker, Working Cr...",0,1.39,0,1,14
2099,1.9,Fastrack Pro-1.97'' Super AMOLED Display|AOD|Working Cr...,4,1.97,0,0,13
679,3.5,PunnkFunnk T800 ultra Series 8 smart watch with AI assi...,0,6.42816,0,0,8
3299,1.9,Fastrack Revoltt FS2Pro-1.96''|Super AMOLED Curved|Prem...,4,1.96,0,0,9
677,0.0,Neel Traders T800 Ultra Smartwatch Series 8 with Blueto...,0,6.42816,0,0,6
740,3.6,Prixy ADVANCE HEALTH BAND ID116 Smartwatch,0,6.42816,0,0,12
1499,1.8,Bestseller,0,6.42816,0,0,5
1999,1.4,"GOBOULT Crown R Pro 1.43''HD AMOLED Display, BT Calling...",0,1.43,1,0,10
1299,2.0,"GOBOULT Trail 2.01'' 3D Curved HD Display, Working Crow...",0,2.01,0,0,6
1289,0.0,SPARKPLUG Digital Active Round Smart multiple sports mo...,0,6.42816,0,0,11
1499,2.0,"boAt Wave Sigma 3 Curv, 2.01"" Immersive Curved Display,...",2,2.01,0,0,14
499,3.2,Prixy ID-116 Fitness Frequency Monitor Band Smartwatch,0,6.42816,0,0,6
1099,2.0,"Fire-Boltt Hunter Pro 2.01"" HD Display Buetooth Calling...",3,2.01,1,0,11
609,3.5,TechElectro t500 smart watch with smart calling feature...,0,6.42816,1,0,13
1099,5.3,Fire-Boltt Nnja Talk 35.3mm (1.39) Round Bluetooth Call...,3,35.3,0,0,12
1299,5.3,Currently unavailable,0,6.42816,0,0,10
1199,4.1,"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT...",0,6.42816,1,0,14
814,0.0,SPARKPLUG Digital Smart multiple sports modes wrist wat...,0,6.42816,0,0,5
809,0.0,SPARKPLUG Digital Smart multiple sports modes wrist wat...,0,6.42816,0,0,5
1295,0.0,SPARKPLUG Digital Active Round Smart multiple sports mo...,0,6.42816,0,0,11
646,3.2,Fusion Tech ID 116 Smartwatch,0,6.42816,0,0,12
704,3.2,Fusion Tech ID 116 Smartwatch,0,6.42816,0,0,13
20999,4.5,Samsung Galaxy Watch7 44mm LTE,0,6.42816,0,0,9
895,3.8,"GameSir H9 Grey Smartwatch with Bluetooth, Fitness & He...",0,6.42816,0,0,5
485,2.9,"RLS T500 Smart Watch with Bluetooth Calling, Fitness Tr...",0,6.42816,1,0,8
895,3.6,"GameSir H9 Black Smartwatch with Bluetooth, Fitness & H...",0,6.42816,0,0,5
1999,1.4,"Fire-Boltt Axiom 1.43"" AMOLED Display Smartwatch BT Cal...",3,1.43,0,0,6
2799,1.4,"realme Watch S2, 1.43"" AMOLED Display, Super AI Engine ...",0,1.43,0,0,13
862,3.9,"GameSir H9 BT-Calling, Music, Sport, Health & Fitness, ...",0,6.42816,1,0,11
2699,4.2,"REDMI Watch 5 Active BT Calling 3 mic,2""HD Screen,18 da...",0,6.42816,1,0,7
1099,1.1,Fire-Boltt Hunter 51.1mm (2.01) HD Display Bluetooth Ca...,3,51.1,0,0,11
3999,1.9,Fastrack Discovery-1.96''|Super AMOLED|In-Built GPS|Vo2...,4,1.96,0,0,12
1899,1.3,Fire-Boltt Brillia Pro 51.3mm (2.02) Largest AMOLED Dis...,3,51.3,0,0,8
597,3.5,NICK JONES T 800 Ultra Smartwatch,0,6.42816,0,0,8
677,0.0,TechElectro T800 Ultra Smartwatch Series 8 with Bluetoo...,0,6.42816,0,0,6
971,2.0,"Melbon Lumina 2.01 AMOLED Display, Smart Health Monitor...",0,2.01,0,0,6
1499,4.1,"boAt Storm Infinity, 15 Days Huge Battery(550 mAh), Fas...",2,6.42816,0,0,6
862,3.9,"PunnkFunnk H9 Stay Connected, Stay Smart with Bluetooth...",0,6.42816,0,0,9
698,0.0,"Cult T800 Ultra Smartwatch Series 8 with Bluetooth , Fi...",0,6.42816,0,0,13
2499,1.7,Noise ColorFit Vision 2 with 1.78'' Always on AMOLED Di...,1,1.78,0,0,6
1799,1.9,"beatXP Marv Raze 1.96"" Display Bluetooth Calling, Smart...",0,1.96,1,0,7
11999,4.1,"Samsung Galaxy Watch FE, 40mm BT, Sapphire Crystal Disp...",0,6.42816,0,0,7
3999,1.9,"CMF by Nothing Watch Pro, 1.96 AMOLED display, BT calli...",0,1.96,0,0,8
900,2.0,"Melbon Lumina 2.01 AMOLED Display, Smart Health, Music,...",0,2.01,0,0,13
1499,1.3,"GOBOULT Tuff Hawk 1.39"" HD Display, Working Crown , Qui...",0,1.39,0,0,11
5499,1.8,Noise Pro 6 1.85'' Amoled Dispay with AI Watch Faces & ...,1,1.85,0,0,11
1999,1.4,"GOBOULT Rover Pro 1.43'' AMOLED Display, BT Calling, 10...",0,1.43,1,0,13
152,0.0,Hum Nano Glass for Zebronics Smart Fitness Watch Zeb-Fi...,0,6.42816,0,0,13
142,0.0,Hum Tum Nano Glass for Zebronics ZEB-FIT8220CH Smartwat...,0,6.42816,0,0,12
3299,1.4,"realme Watch S2, 1.43"" AMOLED Display, Super AI Engine ...",0,1.43,0,0,7
2999,4.2,boAt Enigma Gem Women's Luxury Watch w/ SOS Location Tr...,2,6.42816,0,0,7
31999,4.7,Apple Watch Series 10 GPS 42mm Jet Black Aluminium with...,0,6.42816,0,0,6
3099,5.1,"boAt Ultima Regal w/ 5.1cm(2.01"") AMOLED Display,Functi...",2,5.1,0,0,6
150,0.0,Hum Tum Nano Glass for Zebronics ZEB-FIT8220CH Smartwat...,0,6.42816,0,0,5
692,1.7,GameSir I8 Pink-A1 Full Screen Touch Watch Specially Ma...,0,6.42816,0,0,5
1177,2.0,"Maxima Max Pro Infinity 2.01""Ultra HD 2.5D Curved Displ...",0,2.01,0,0,13
1699,1.3,Fire-Boltt Brillia 51.3mm (2.06 inch) Largest AMOLED Di...,3,51.3,0,0,10
929,0.0,"RISHI ENTERPRISES Trendy latest Gen9 smartwatch, Golden...",0,6.42816,0,0,14
784,0.0,RGV H9 Black-A1 Full Screen Touch Watch Specially Made ...,0,6.42816,0,0,6
2499,1.4,"Fastrack Optimus Pro with 1.43"" AMOLED Display & AOD(46...",4,1.43,0,0,7
951,0.0,MBS Gen 9 smartwatch latest smart watch for girls amole...,0,6.42816,0,0,6
698,1.7,GameSir I8 Pink-A1 Full Screen Touch Watch Specially Ma...,0,6.42816,0,0,10
920,0.0,Yash Enterprises Gen 9 pro /Gen 8/ Gen 9/ Gen 12 Smartw...,0,6.42816,0,0,11
2099,1.9,Fastrack RevoPro-1.97'' Super AMOLED Display|AOD|Workin...,4,1.97,0,0,11
1999,1.3,boAt Enigma Daze Women's Luxury Watch w/ SOS & 1.3''(3....,2,1.3,0,0,5
1199,1.8,"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits ...",0,1.85,1,0,6
926,0.0,TAXTURE smart for girls and ladies genration 8 with dis...,0,6.42816,0,0,7
926,0.0,MBS Gen 9 smart watch for girls and women smart watch d...,0,6.42816,0,0,7
899,0.0,URRU Gen 9 Model Fitness Health Music Smartwatch: The N...,0,6.42816,0,0,10
1499,1.8,Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,4,1.83,0,0,7
6299,1.7,"TITAN AiRA 1.70"" AMOLED Metal Case Square Display,1000 ...",0,1.7,0,0,12
1355,0.0,"GameSir Active 2 Round Stay Connected with YouTube, Fac...",0,6.42816,0,0,9
923,0.0,"Shinify Trendy latest Gen9 smartwatch, Golden & Pink st...",0,6.42816,0,0,13
2999,0.0,boAt Enigma Gem Women's Luxury Watch w/ SOS Location Tr...,2,6.42816,0,0,6
1599,1.9,Fastrack X2 with 1.91'' BT Calling|Rotating Crown|60 Hz...,4,1.91,1,0,5
784,2.1,"RGV H9-LAXA 2.19"" Amoled Display, Smart Notifier, BT ca...",0,2.19,0,0,12
697,1.5,"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notific...",0,1.54,1,0,6
906,0.0,Nikki Trades Gen9 smartwatch diamond edition 2 straps s...,0,6.42816,0,0,13
965,0.0,MICROBOTS The next generation gen 9 smart watch for wom...,0,6.42816,0,0,5
918,0.0,ULTRON Gen 9 Model Fitness Health Music Smartwatch: The...,0,6.42816,0,0,14
2299,1.9,"Fastrack FS1 Pro|World's First,1.96"" Super AMOLED|Highe...",4,1.96,0,0,13
940,0.0,spellcell Gen9 smart watch for Women with Calling notif...,0,6.42816,1,0,7
642,0.0,"DOXWO I8 pink HD Display,BT Calling,Women's Health suit...",0,6.42816,1,0,7
946,1.5,"MAYAS Gen 9 1.5"" HD Display Smartwatch: The Next Genera...",0,1.5,0,0,11
794,0.0,BfsTeckt H9 A1 Full Screen Touch Watch Specially Made f...,0,6.42816,0,0,11
940,0.0,"Avonix Trendy latest Gen9 smartwatch, Golden & Pink str...",0,6.42816,0,0,12
930,1.4,Ezerio Gen 9 Smart Watch for Women with Sleek Metal Dia...,0,6.42816,0,0,9
2299,1.2,"Pebble Vienna Women 1.27""Ultra HD Display,Diamond Cut D...",0,1.27,0,0,10
946,0.0,"TECHMAZE Trendy latest Gen9 smartwatch, Golden & Pink s...",0,6.42816,0,0,9
905,0.0,ULTRON Model Fitness Health Music Smartwatch: The Next ...,0,6.42816,0,0,11
1295,0.0,TRUETAG Gen 9 Model Fitness Health Music Smartwatch: Th...,0,6.42816,0,0,7
895,2.0,GameSir H9 Pink-A1 Full Screen Touch Watch Specially Ma...,0,6.42816,0,0,8
935,1.5,"SUSTAINIX Gen 9 1.5"" HD Display Smartwatch: The Next Ge...",0,1.5,0,0,9
1699,1.3,Fastrack Revoltt FR2-1.38''|Advanced Blazing Fast UI|Wo...,4,1.38,0,0,13
1507,1.3,"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT ...",0,1.39,0,0,8
906,0.0,Nikki Trades Gen 9 Model Fitness Health Music Smartwatc...,0,6.42816,0,0,12
962,0.0,NB EMPIRE Smart Watch Gen 9 luxury Design for girls Sma...,0,6.42816,0,0,6
914,0.0,"S Traditional Trendy latest Gen9 smartwatch, Golden & P...",0,6.42816,0,0,11
815,0.0,Waunset H9 A1 Full Screen Touch Watch Specially Made fo...,0,6.42816,0,0,9
1259,0.0,"Nikki Trades Trendy latest Gen9 smartwatch, Golden & Pi...",0,6.42816,0,0,6
1505,0.0,GameSir Gen 9 Model : The Next Generation of women Fitn...,0,6.42816,0,0,13
758,0.0,"MVC ENTERPRISE H9 Smartwatch with Bluetooth, Fitness & ...",0,6.42816,0,0,10
1467,1.3,"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT ...",0,1.39,0,0,6
1342,0.0,"Yash Enterprises Trendy latest Gen8 smartwatch, Golden ...",0,6.42816,0,0,10
709,0.0,TechBox H9 A1 Full Screen Touch Watch Specially Made fo...,0,6.42816,0,0,14
697,1.7,GameSir I8 Pink-A1 Full Screen Touch Watch Specially Ma...,0,6.42816,0,0,6
2499,1.8,Fastrack Revoltt FS1-1.85''|Advanced Blazing Fast UI|Wo...,4,1.85,0,0,13
1999,1.3,Lifelong Luxury Smart Watch for Women |1.39 Inch HD Dis...,0,1.39,0,0,13
1467,1.3,GameSir Gen 9 Model Fitness Health Music Smartwatch: Th...,0,6.42816,0,0,9
909,0.0,Nikki Trades Gen 9 Model Fitness Health Music Smartwatc...,0,6.42816,0,0,6
970,1.5,"Veritas Enterprises Gen 9 1.5"" HD Display Smartwatch: T...",0,1.5,0,0,5
921,0.0,"S Traditional Trendy latest Gen9 smartwatch, Golden & P...",0,6.42816,0,0,6
997,0.0,TECHMAZE Gen 9 Model Fitness Health Music Smartwatch: T...,0,6.42816,0,0,14
995,0.0,Hokti latest trendy smart watch for women rose gold sma...,0,6.42816,0,0,14
934,0.0,Philo GEN-9 Rose Gold Smartwatch With Sports Mode and G...,0,6.42816,0,0,12
958,0.0,OXILAG Gen9 Smart watch For Girls Women with Two Straps...,0,6.42816,0,0,12
1517,1.3,"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT ...",0,1.39,0,0,12
1599,2.0,Fastrack Revoltt FS2+|2.01'' Display|Functional Crown|B...,4,2.01,0,0,14
2999,0.0,"Fire-Boltt Dream WristPhone - 4G SIM/LTE/WiFi, Android ...",3,6.42816,0,0,9
876,2.0,GameSir H9 Pink-A1 Full Screen Touch Watch Specially Ma...,0,6.42816,0,0,11
653,0.0,KadWaniya T800 Ultra Smart Watch With bluetooth calling...,0,6.42816,1,0,12
710,1.9,Melbon T800 Bluetooth Calling Touch Watch Amoled Displa...,0,6.42816,1,0,13
883,0.0,SGG GEN BLUETOOTH SMART WATCH FOR MENS AND WOMEN Smartw...,0,6.42816,0,0,11
843,0.0,PANKAJ ENTERPRISES i20 smart watch & S8 4G network Andr...,0,6.42816,0,0,13
1349,0.0,"GameSir Active 2 Round Stay Connected with YouTube, Fac...",0,6.42816,0,0,5
1470,0.0,WTG GEN 9 with BT Call Specially Made for Women & Girls...,0,6.42816,0,0,5
2999,1.3,"Fastrack Reflex Play, AMOLED,1.3"" Always On Display,Pre...",4,1.3,0,0,11
959,0.0,Luyten tech Latest Model of Gen 9 For GIrls & Women's S...,0,6.42816,0,0,14
477,0.0,Yash Enterprises T800 Ultra Smart Watch Series 8 For Me...,0,6.42816,0,0,7
2499,1.1,"Fire-Boltt Glitz 1.19 AMOLED Display, Rotating Crown, 1...",3,1.19,0,0,6
644,0.0,SATYAM TRADESR T800 Ultra Smart Watch Series 8 For Men ...,0,6.42816,0,0,12
809,0.0,Luyten tech Latest Ultra Smartwatch with 7 Belt for man...,0,6.42816,0,0,6
364,0.0,Tarido Teenagers LED Luxurious Fashion Silicone Digital...,0,6.42816,0,0,12
1509,1.3,"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT ...",0,1.39,0,0,13
1199,2.0,"Maxima Max Pro Infinity 2.01""Ultra HD 2.5D Curved Displ...",0,2.01,0,0,6
2499,1.1,"GOBOULT Alora 1.19"" AMOLED,Diamond-cut dial, 800 Nits B...",0,1.19,0,0,10
3599,0.0,Fastrack Noir Rizz Smartwatch,4,6.42816,0,0,13
694,1.7,GameSir I8 Pink-A1 Full Screen Touch Watch Specially Ma...,0,6.42816,0,0,12
949,0.0,"ULTRON Trendy latest Gen9 smartwatch, Golden & Pink str...",0,6.42816,0,0,8
868,0.0,NB EMPIRE Android Smart Watch Men 4G Network BT Call GP...,0,6.42816,0,0,8
945,0.0,"ULTRON Trendy latest Gen9 smartwatch, Golden & Pink str...",0,6.42816,0,0,9
855,0.0,Melbon T-Storm Black-A1 Full Screen Touch Watch Special...,0,6.42816,0,0,12
923,0.0,"ULTRON Trendy latest Gen9 smartwatch, Golden & Pink str...",0,6.42816,0,0,12
921,0.0,dicrobots WOMEN PREMIUM WITH Smartwatch,0,6.42816,0,0,10
5399,1.4,TITAN Crest-1.43''|Premium Design|AMOLED|AOD|Working Cr...,0,1.43,0,0,12
915,0.0,"Avonix Trendy latest Gen9 smartwatch, Golden & Pink str...",0,6.42816,0,0,12
1899,1.2,Fire-Boltt Hurricane Aura 1.26HD Display Diamond Cut Ro...,3,1.26,0,0,5
867,1.9,GameSir H9 Black-A1 Full Screen Touch Watch Specially M...,0,6.42816,0,0,5
733,1.7,GameSir I8 Black with 1-strap Full Screen Touch Watch S...,0,6.42816,0,0,9
1199,1.8,"Maxima Max Pro Velocity 1.83""Ultra HD 2.5D Curved Displ...",0,1.83,0,0,10
999,0.0,"Veritas Enterprises Trendy latest Gen9 smartwatch, Gold...",0,6.42816,0,0,8
695,1.7,GameSir I8 Pink-A1 Full Screen Touch Watch Specially Ma...,0,6.42816,0,0,14
998,0.0,SIACART Gen 9 Model Fitness Health Music Play Smartwatc...,0,6.42816,0,0,7
980,0.0,Pushkar Traders Gen 9 Smartwatch,0,6.42816,0,0,6
1478,0.0,WTG GEN 9 with BT Call Specially Made for Women & Girls...,0,6.42816,0,0,10
1399,1.8,"Maxima Pro Velocity 1.83""Ultra HD Smartwatch",0,1.83,0,0,6
933,0.0,TECHMAZE Gen 9 Model Fitness Health Music / The Next Ge...,0,6.42816,0,0,5
1399,1.2,"Lifelong Smartwatch for Women | 1.28"" HD Display Smartw...",0,1.28,0,0,13
1240,0.0,SIACART Gen 9 Model Fitness Health Music Smartwatch Sma...,0,6.42816,0,0,13
1199,1.8,"boAt Ultima Connect with 1.83"" HD Display,Advanced BT C...",2,1.83,0,0,14
1799,1.4,"boAt Lunar Call Plus Smartwatch with 1.43"" AMOLED Displ...",2,1.43,0,0,13
759,0.0,Hokti New 2024 i20 Ultra Smart watch Smartwatch,0,6.42816,0,0,7
6749,1.7,"TITAN AiRA 1.70"" AMOLED Metal Case Square Display,1000 ...",0,1.7,0,0,11
766,2.0,"RGV H9 LAXASFIT 2.01"" AMOLED Display Bluetooth Calling ...",0,2.01,1,0,7
6999,0.0,Noise Diva Araya Smartwatch,1,6.42816,0,0,14
768,0.0,SIACART i20 smart watch & S8 4G System T800 Ultra & Gam...,0,6.42816,0,0,11
846,0.0,PunnkFunnk Newly Edge-lite Smartwatch With BT Calling F...,0,6.42816,1,0,14
462,0.0,PANKAJ ENTERPRISES T500 Ultra Unisex Sports Watch T500 ...,0,6.42816,0,0,7
1505,0.0,GameSir Gen 9 Model Fitness Health Music Smartwatch: Th...,0,6.42816,0,0,11
980,0.0,MICROBOTS gen 9 smartwatch for women red strap gold sma...,0,6.42816,0,0,6
891,0.0,ULTRON Gen9 smartwatch diamond edition 2 straps super a...,0,6.42816,0,0,12
4499,1.3,Fastrack Reflex Play+ 1.3 AMOLED Display|BT Calling|25+...,4,1.3,1,0,9
955,0.0,ULTRON diamond edition 2 straps super amoled display se...,0,6.42816,0,0,12
491,1.9,CLUBCLASSY T800 Ultra mini calling smartwatch display f...,0,6.42816,1,0,8
861,1.9,"PunnkFunnk Edge-Lite | 1.99 "" Amoled Display | BT Calli...",0,1.99,0,0,13
2785,4.2,Mi Smart Band 6 - India's No.1 Fitness Band,0,6.42816,0,0,11
2831,4.2,Trending,0,6.42816,0,0,7
6017,0.0,Samsung Galaxy Fit3 Smart Band Watch | AMOLED Display | 13 Days Battery | 100+ Exercises,0,6.42816,0,0,9
653,3.8,flyhug T10 ULTRA SMART WATCH,0,6.42816,0,0,8
424,3.3,Rvees ID116 Plus Smart Band,0,6.42816,0,0,12
1604,0.0,NKL Newly 500+ Smart Watch Waterproof,0,6.42816,0,0,6
456,3.3,cosvo ID116 Smart Band Fitness Tracker Watch,0,6.42816,0,0,5
1540,2.7,NKL CALL FUNCTION Monitor Smartwatch,0,6.42816,0,0,10
173,3.5,JOYRES JOYRES LED Watch Band,0,6.42816,0,0,8
1338,3.6,NKL Super t500 Monitor Smart Watch,0,6.42816,0,0,13
1604,0.0,NKL Smart Watch Monitor Activity Tracker,0,6.42816,0,0,10
1642,0.0,NKL Dual Strap Fully Display Smart Watch,0,6.42816,0,0,6
1583,0.0,NKL Smartwatch 085 Watch Series 7 Bluetooth,0,6.42816,0,0,12
1547,0.0,NKL Smart 500 Plus Watch Serie6 High Quality,0,6.42816,0,0,13
1488,2.8,NKL Monitor Activity Tracker Smart Watch,0,6.42816,0,0,10
